ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Your name,What is the date and time of collection?,Where are you recording the point?,"Are there no crops (fallow or pasture), one crop, or multiple crops growing in the field?",Which crop(s) are present in the field?,Other - Which crop(s) are present in the field?,"[OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?","Other - [OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?",[OPTIONAL] Additional notes,x,y
116,b83be583-e8ca-42c2-82b7-1a5ccbba41a9,2/10/2023 20:57,,2/10/2023 20:57,,Jeffrey wayer ,,Inside the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),mai`a_(banana),vegetables_(e.g._leafy_greens_c",,kalo (taro) - mala (dryland),,"Kalo, bananas, cabbages, Caco tree ",-156.2984111,20.8998108
117,27a29cc8-3216-48f0-b01f-651ea3df29d6,2/10/2023 20:59,,2/10/2023 20:59,,Jeffrey wayer,,Inside the field,One crop,kalo_(taro)_-_mala_(dryland),,,,Homemade mulch and some nematodes problems ,-156.2984622,20.89980761
118,57d5e1a7-7110-4aa3-9cfb-2d74b3f80cde,2/10/2023 21:00,,2/10/2023 21:00,,Jeffrey wayer,,Inside the field,One crop,mai`a_(banana),,,,,-156.298336,20.90014858
119,63896c27-9b5d-4b48-b52c-6b9b040744f8,2/10/2023 21:02,,2/10/2023 21:02,,Brigette Tomas,,Inside the field,One crop,tropical_fruits,,,,"Abiu fruit
Fungi and nematode problem on farm ",-156.2986059,20.90019498
120,941b950a-935d-4486-81d4-328f2051962a,2/10/2023 21:08,,2/10/2023 21:08,,Jeffrey Wayer,,On the edge of the field,One crop,other,Caco tree ,,,,-156.2983426,20.8996556
121,92fc43bc-a6ab-48d1-b7b2-3e4233d30199,2/11/2023 19:29,,2/11/2023 19:29,,Paige Moffitt,,On the edge of the field,One crop,other,sunflower ,,,,-156.504167,20.82295596
122,239385db-b97b-4435-a64a-f66d82175fbb,2/11/2023 19:30,,2/11/2023 19:30,,Sean,,On the edge of the field,Fallow,,,,,,-156.5036969,20.82317037
123,71fe4a4a-8f89-4202-9f9b-9dfbc82a5f79,2/11/2023 19:31,,2/11/2023 19:31,,jerry isdale,,On the edge of the field,Fallow,"other,kalo_(taro)",dirt,,,fallow w plastic tarp and cane grass border,-156.5040315,20.82311587
124,090f8646-ad3e-4315-97e4-df1571c4b00d,2/11/2023 19:32,,2/11/2023 19:32,,Sean,,On the edge of the field,One crop,other,Tomato,,,,-156.5033103,20.82326112
125,2a2c4b5f-0c4c-4ea1-bea5-f46c47e6a388,2/11/2023 19:33,,2/11/2023 19:33,,Nick Adams,,Inside the field,One crop,other,Sunflower,,,,-156.5034776,20.82295905
126,90daf97b-0c32-4675-9fa6-305eaf583ded,2/11/2023 19:33,,2/11/2023 19:33,,Pono Fortune,,Inside the field,Multiple crops,"tropical_fruits,`ulu_(breadfruit),sugarcane,`uala_(sweet_potato)",,other,sweet potato,,-156.4799518,20.8925517
127,aab773f5-afc2-48e0-9a7f-6262e7b16064,2/11/2023 19:34,,2/11/2023 19:34,,Pono Fortune,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),other",tomato,kalo (taro) - mala (dryland),,,-156.5035181,20.82317991
128,1763f311-e33e-49f8-8a3a-93fbea72988f,2/11/2023 19:34,,2/11/2023 19:34,,jerryisfale,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),vegetables_(e.g._leafy_greens_c,other","tomato, squah, o:ra",,,,-156.5036302,20.82329016
129,c4c7799f-7572-4344-bbe7-739f072ae472,2/11/2023 19:34,,2/11/2023 19:34,,Olivia Gray,,Inside the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),other",tomato,,,,-156.5036106,20.82321156
130,1dbff772-a1dc-4e9c-9516-58303dc65ea5,2/11/2023 19:34,,2/11/2023 19:34,,Brigette Tomas,,Inside the field,One crop,other,Sunflower,,,Farmer indicated they will plant sunflower the next day.,-156.5035334,20.82306489
131,6036a4b8-c19b-4da9-b149-9471d0146d54,2/11/2023 19:35,,2/11/2023 19:35,,Pono Fortune,,On the edge of the field,Fallow,,,,,feild will be planted with sunflower in the next feq days,-156.5035158,20.82317836
132,b72fc50e-91d7-436e-91b7-78fb0853d0ed,2/11/2023 19:35,,2/11/2023 19:35,,Anna Galbreath,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),vegetables_(e.g._leafy_greens_c,niu_(coconut)",,not applicable,,"Coconut trees are windbreaks. This is an experimental area where they tried tomatoes and taro, but there are a good amount of weeds as well.",-156.5035316,20.82317343
133,fe5eedba-d0de-4899-8cae-8753abd8e14f,2/11/2023 19:35,,2/11/2023 19:35,,Sean,,Inside the field,Pasture,,,,,,-156.5033503,20.82311281
134,8b7e08ff-e19a-432d-a87d-005320c66426,2/11/2023 19:36,,2/11/2023 19:36,,Paige Moffitt,,Inside the field,One crop,other,sunflower,,,currently fallow but planting sunflower tomorrow ,-156.5034,20.82314857
135,6ba602fb-f0be-4781-a197-a2403f91a323,2/11/2023 19:38,,2/11/2023 19:38,,Jeffrey Wayer,,On the edge of the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),vegetables_(e.g._leafy_greens_c",,kalo (taro) - mala (dryland),,Other leafy greens present along with weeds ,-156.5027294,20.82347083
136,ea8e6be4-cc39-4bd2-8732-712c56d72d04,2/11/2023 19:41,,2/11/2023 19:41,,Brigette Tomas,,Inside the field,Multiple crops,"kalo_(taro)_-_mala_(dryland),vegetables_(e.g._leafy_greens_c",,kalo (taro) - mala (dryland),,"Vegetable - Tomatoes
with some Fallow",-156.503922,20.82312332
137,a0838b91-d0aa-4f07-942b-f690d1ffcbe6,2/11/2023 19:42,,2/11/2023 19:42,,Paige Moffitt,,On the edge of the field,One crop,mai`a_(banana),,,,,-156.5025137,20.8234052
138,12717649-017e-4b37-bd7f-6167574c3cae,2/11/2023 19:46,,2/11/2023 19:46,,Sean,,Inside the field,Pasture,,,,,,-156.5036294,20.82185031
139,eebb15eb-80ab-4a82-b9d0-2c8502636c89,2/11/2023 19:47,,2/11/2023 19:47,,pono fortunr,,Inside the field,Fallow,,,,,field will be planted with sumflowers in the next few days,-156.503406,20.82129373
140,b7cb33cf-4911-4ea1-83c7-c47c444138fd,2/11/2023 19:48,,2/11/2023 19:48,,Olivia Gray,,Inside the field,One crop,other,Sunflower,,,Sunflower grown for biodiesel.,-156.5035848,20.82158381
141,55e51740-8a73-4e04-b005-6cfc58529dd2,2/11/2023 19:49,,2/11/2023 19:49,,Pono Fortune,,On the edge of the field,One crop,other,sunflower,,,,-156.5036666,20.820156
142,28dab166-0bbb-4464-a228-8c5efa66bd00,2/11/2023 19:49,,2/11/2023 19:49,,jerry isfale,,Inside the field,One crop,other,sunflower,,,pivot irrigation ,-156.5035634,20.81961312
143,73872579-d38b-43a5-970c-aeda4dd16a79,2/11/2023 19:49,,2/11/2023 19:49,,Sean,,Inside the field,Pasture,,,,,,-156.5038224,20.82105719
144,c6ef736f-b185-4759-afa7-a517ddad30c6,2/11/2023 19:50,,2/11/2023 19:50,,Brigette Tomas,,Inside the field,One crop,other,Sunflower,,,"Uses a pivot watering system to water
",-156.5039546,20.82021645
145,3c5e0fc0-ecdf-4db7-8eb7-63ab186c492d,2/11/2023 19:50,,2/11/2023 19:50,,Olivia Gray,,Inside the field,One crop,other,Sunflower,,,Sunflower grown for biodiesel.,-156.5039966,20.81992038
146,1ed8d3c0-5cc2-4d6f-9a6d-a7b6293da4b5,2/11/2023 19:51,,2/11/2023 19:51,,CWC,,On the edge of the field,One crop,other,Sunflower,,,"This is a one crop field, nothing else will grow in the year except for sunflowers. Their biggest limiting factor is water shortage and expenses.",-156.5043229,20.82059896
147,5f821bf1-36cc-4ea4-9d56-09a55b58e978,2/11/2023 19:51,,2/11/2023 19:51,,Sean,,Inside the field,One crop,other,Sunflower,,,,-156.504106,20.82034809
148,f3d034a1-cab3-44ac-95d6-7e510e83d416,2/11/2023 19:52,,2/11/2023 19:52,,Jeffrey Wayer,,On the edge of the field,One crop,other,Sunflowers ,,,,-156.5037142,20.82016556
149,5472fa2d-0660-4444-b4d7-beb00dcf7c2e,2/11/2023 19:56,,2/11/2023 19:56,,Pono Fortune,,Inside the field,One crop,other,sunflower,,,,-156.5039121,20.82011336
150,02bc39cf-4903-4df1-bcfe-de26d52f2309,2/11/2023 19:56,,2/11/2023 19:56,,Pono Fortune,,On the edge of the field,One crop,other,sunflower,,,,-156.5040776,20.82040899
151,95f5daa3-6926-42bf-b889-f9544fed6c80,2/11/2023 19:57,,2/11/2023 19:57,,Pono Fortune,,On the edge of the field,Fallow,,,,,field will be planted with sunflower in the next few days,-156.5040282,20.82044013
152,07a86386-ce94-4bfa-a350-b7a24caba62e,2/11/2023 20:18,,2/11/2023 20:18,,Jeffrey Wayer,,On the edge of the field,One crop,other,Bitterlemon ,,,,-156.5059897,20.82157392
153,3bea51f3-a2d2-46f5-8f1f-c456bd5c4937,2/11/2023 20:19,,2/11/2023 20:19,,Sean,,On the edge of the field,One crop,other,Bittermelon ,,,,-156.505987,20.82159371
154,0fa5c2d2-0a97-4c4c-8778-07d5836c5417,2/11/2023 20:19,,2/11/2023 20:19,,Paige Moffitt ,,On the edge of the field,One crop,other,bitter melon,,,,-156.50599,20.82157007
155,0ef92208-8402-40b6-a698-bfeada00667d,2/11/2023 20:19,,2/11/2023 20:19,,jerry isfale,,On the edge of the field,Multiple crops,"mai`a_(banana),other","bitter mellon, fallow",,,,-156.506164,20.82158575
156,504c8fe7-3c1e-442d-a6bd-18d7b5c062ab,2/11/2023 20:19,,2/11/2023 20:19,,Olivia Gray,,Inside the field,Fallow,,,,,Bordered by banana trees on one side of the field.,-156.5061275,20.82157539
157,9b4e8159-95f5-427b-8f58-3b1a13343b6e,2/11/2023 20:19,,2/11/2023 20:19,,Sean,,On the edge of the field,One crop,other,Sunflower,,,"
",-156.5060113,20.82134773
158,32ef1a11-a351-4c53-ba4d-6e377f4d5f64,2/11/2023 20:20,,2/11/2023 20:20,,Cwc,,On the edge of the field,Fallow,other,Bittermelon,,,Uses plastic to cover the soil.,-156.5059803,20.82161941
159,e8d974b7-67cd-4f4a-9eba-6dd6991b84fd,2/11/2023 20:20,,2/11/2023 20:20,,Anna G,,On the edge of the field,One crop,other,Sunflower,,,"Will be in bloom in about a week. This area switches between sunflower, sunn hemp, and ",-156.5050481,20.82109125
160,2e28a7ec-a121-49f4-900f-152c2b6332b3,2/11/2023 20:20,,2/11/2023 20:20,,Anna G,,On the edge of the field,Multiple crops,"mai`a_(banana),other",Bittermelon,other,Bittermelon,Banana is a windbreak.,-156.5059813,20.82161078
161,e2860224-c484-4050-9c45-6ff4cfe7af28,2/11/2023 20:20,,2/11/2023 20:20,,Brigette Tomas,,On the edge of the field,One crop,other,Bittermelon,,,"Has Banana tree windbreak
",-156.5060813,20.82153337
162,5546f113-1028-4be3-a110-abf53e7d844b,2/11/2023 20:20,,2/11/2023 20:20,,Pono Fortune,,On the edge of the field,Multiple crops,"other,mai`a_(banana)",bittermelon,other,bittermelon,,-156.5059163,20.82160622
163,c1d3d0ef-5499-4676-b607-c57de638f2c5,2/11/2023 20:21,,2/11/2023 20:21,,Jeffrey Wayer,,On the edge of the field,Fallow,,,,,,-156.5060383,20.82149036
164,fbc30fcd-eca2-4178-88bc-94568e578bba,2/11/2023 20:23,,2/11/2023 20:23,,Sean,,Inside the field,Fallow,,,,,,-156.5059153,20.82181172
165,cdc4b839-22cf-4541-9a80-fbbdd95e2263,2/11/2023 20:26,,2/11/2023 20:26,,Cwc,,On the edge of the field,One crop,other,Sunflower,,,"Sunflowers will be planted the next day, they’ll pop up in the next two weeks.",-156.505591,20.82205671
166,e411f5d1-1649-4466-866b-38d566998812,2/11/2023 20:27,,2/11/2023 20:27,,Pono Fortune,,On the edge of the field,Fallow,,,,,field will be planted with sunflower in the next few days,-156.5046161,20.8225859
167,6f9b496b-49a3-48d9-9669-8e98c0181fd6,2/12/2023 1:06,,2/12/2023 1:06,,Mary Alleca0,,Inside the field,Fallow,,,,,Will be planted with sunflower tomorrow,-156.5034058,20.82311349
168,24bfc710-8fa0-4f86-8cc7-ab42a8e7760a,2/12/2023 1:07,,2/12/2023 1:07,,Mary Alleca,,On the edge of the field,One crop,other,Sunflower,,,Late harvest due to weather - not enough sunlight.,-156.5040072,20.8203178
169,c4de6b60-a6bd-41d6-b404-92091b4b56b2,2/12/2023 1:07,,2/12/2023 1:07,,Mary Alleca,,On the edge of the field,Fallow,,,,,Sunflower planting tomorrow,-156.5040251,20.82040239
170,51ab737a-df99-4990-a368-90f41e9979f1,2/12/2023 1:07,,2/12/2023 1:07,,Mary Alleca0+,,On the edge of the field,One crop,other,Bittermelon,,,,-156.5064895,20.82186663
171,2b2a706a-ddea-44be-9ef0-1c36a2fe473a,2/12/2023 1:07,,2/12/2023 1:07,,Mary Alleca,,On the edge of the field,Fallow,,,,,,-156.5065172,20.82156657
172,ee4f1fd4-05e1-465b-a8e1-bea8de21b304,2/12/2023 1:07,,2/12/2023 1:07,,Mary Alleca,,On the edge of the field,Fallow,,,,,,-156.5064594,20.82149858
173,0b3f1a56-4e0c-45f6-b6a5-3b740431bab9,2/12/2023 1:07,,2/12/2023 1:07,,Mary Alleca,,On the edge of the field,Fallow,,,,,,-156.5053348,20.82226224
174,d62c9eb7-ad10-4a5c-8160-ea43248de6d3,2/12/2023 1:07,,2/12/2023 1:07,,Mary Alleca,,On the edge of the field,One crop,mai`a_(banana),,,,,-156.3399221,20.8843974
175,c8b5ba27-2bdb-4b3e-a1ea-635cdc7c5099,2/12/2023 1:07,,2/12/2023 1:07,,Mary Alleca,,Inside the field,Multiple crops,"other,kalo_(taro)","Herbs, olena, green onions, tomato,kale",,,Greenhouse for plant seedlings,-156.3401848,20.88425166
176,3f470ca5-85a0-46a5-983e-ec79134c8ac6,2/12/2023 1:07,,2/12/2023 1:07,,Mary Alleca,,On the edge of the field,One crop,kalo_(taro),,,,,-156.3402365,20.88403135
177,3cffbda1-8d0b-47c9-b3b0-98ad66cb9cc7,2/14/2023 21:42,mweinhouse_LHES,2/14/2023 21:42,mweinhouse_LHES,Michele Weinhouse,,On the edge of the field,Home garden or irregular,"`uala_(sweet_potato),vegetables_(e.g._leafy_greens_c,other",papaya,other,tomatoes,"mostly hydroponics
",-156.9195428,20.82330039
178,49e8d9d2-e3c8-4ba1-bf46-9d5aa2a8b547,2/15/2023 19:15,NASAHarvestCollector_UofMD,2/15/2023 19:15,NASAHarvestCollector_UofMD,Gabriel Tseng,,Inside the field,One crop,macadamia_nut,,,,,-157.0488272,21.16623965
179,16236493-b468-4898-b4cc-3dcd3420ace5,2/15/2023 19:15,NASAHarvestCollector_UofMD,2/15/2023 19:15,NASAHarvestCollector_UofMD,Gabriel Tseng,,Inside the field,One crop,tropical_fruits,,,,mango,-157.0478118,21.16644674
180,b43130f9-9ecf-4b8e-98e7-d41c9f6da008,2/16/2023 19:08,,2/16/2023 19:08,,Aubrey,,On the edge of the field,Fallow,,,,,Fence is blocking animals from eating their crops.,-156.9239963,20.82508831
181,d2a65eee-ba23-495d-ac4a-c28c6837699d,2/16/2023 19:15,,2/16/2023 19:15,,Aubrey,,Inside the field,Multiple crops,"other,tropical_fruits","Papaya, marungay, ginger, lei plants, ",,,,-156.9239882,20.82514253
182,0c7c3731-6d46-4eda-9d8c-9ffa1b5e4dde,2/16/2023 21:28,,2/16/2023 21:28,,Jayleen ,,On the edge of the field,Home garden or irregular,"`ulu_(breadfruit),mai`a_(banana),vegetables_(e.g._leafy_greens_c,other,sugarcane",Lemon grass ,,,"Deer fence 
Is it irrigated? What are the challenges you face? How much do you produce? Pests? ",-156.9227238,20.82684573
183,0ed44faa-30ca-444b-8b0f-37d5b04c07e1,2/16/2023 21:28,,2/16/2023 21:28,,ervina,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),mai`a_(banana),vegetables_(e.g._leafy_greens_c",,,,"There’s a fence to keep deer out. (DEER FENCE) 
Irrigation",-156.9235564,20.82625216
184,c376c16a-5a74-4af8-8842-5878dd3ee54e,2/16/2023 21:28,,2/16/2023 21:28,,Alex ,,On the edge of the field,Home garden or irregular,"`ulu_(breadfruit),mai`a_(banana),vegetables_(e.g._leafy_greens_c,other","Lemon grass, ",,,"Deer fence, rain water ",-156.9235391,20.82633271
185,9144a8a8-803d-4d3c-9fa0-7031db184ba2,2/16/2023 21:29,,2/16/2023 21:29,,Geiv ,,On the edge of the field,Home garden or irregular,"`ulu_(breadfruit),mai`a_(banana),vegetables_(e.g._leafy_greens_c,other",Lemon grass ,,,"There’s a deer fence, irrigated, yields, pests, ",-156.9226998,20.82680177
186,73cb15e3-724b-41fd-a7c5-5d299d1feb3e,2/16/2023 21:29,,2/16/2023 21:29,,Makamae,,On the edge of the field,Home garden or irregular,"`ulu_(breadfruit),mai`a_(banana),vegetables_(e.g._leafy_greens_c,other",Lemon grass ,,,"Deer fence. On school grounds. 
Question: 
- yield 
- any challenges 
- what grows well",-156.9235412,20.82635993
187,765d968b-0a8d-4002-b56e-f9831e5a5657,2/16/2023 21:29,,2/16/2023 21:29,,Andrei,,On the edge of the field,Home garden or irregular,"`ulu_(breadfruit),other,vegetables_(e.g._leafy_greens_c","Banana, lemon grass, ",,,"Deer fence, irrigated ",-156.9235365,20.82635022
188,20ed8db9-3a01-4192-ac1d-0034473ac339,2/16/2023 21:29,,2/16/2023 21:29,,Hershey Lei,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),mai`a_(banana),vegetables_(e.g._leafy_greens_c,other",Lemongrass,not applicable,,"Deer fence, yielding, pests.

- What are challenges farmers face with growing in their fields or gardens?
- Is this garden irrigated? ",-156.9236163,20.826134
189,61d80c89-bd75-43ee-bfa9-92200355d0e0,2/16/2023 21:36,,2/16/2023 21:36,,ervina ,,On the edge of the field,Home garden or irregular,"tropical_fruits,other",TI LEAF & Fallows,,,"DEER FENCE
MOSTLY TALL GRASS (fallow land)
",-156.923772,20.82529454
190,3322aa0f-64a8-43ac-8948-d98deb87c928,2/16/2023 21:36,,2/16/2023 21:36,,Geiv ,,On the edge of the field,Home garden or irregular,other,Tea leaf papaya ,,,Deer fence pests a lot of fallow land irritated yields ,-156.9234427,20.82597061
191,a129f422-7eec-46d2-a4e8-b4d3f367311c,2/16/2023 21:37,,2/16/2023 21:37,,Jayleen,,On the edge of the field,Home garden or irregular,"vegetables_(e.g._leafy_greens_c,other","Papayas, tea leaf",,,"A lot of fallow land, fence around it, ",-156.9239195,20.82549999
192,fe2b9db0-81cc-46d2-a0b0-62f4b6abe283,2/16/2023 21:37,,2/16/2023 21:37,,Andrei,,On the edge of the field,Home garden or irregular,"other,vegetables_(e.g._leafy_greens_c","Tea leafs, papaya, lilikoi, banana, mamaki, ginger",,,"It’s fenced in, irrigated",-156.9237321,20.82530946
193,5da70b3f-4471-46b7-9cb0-57132ae1375c,2/16/2023 21:37,,2/16/2023 21:37,,Rennan,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),vegetables_(e.g._leafy_greens_c,other","Lemon grass, bananas",,,,-156.9235364,20.82633283
194,4a4cd0eb-16a0-4945-a01d-2fcc36496493,2/16/2023 21:37,,2/16/2023 21:37,,Makamae ,,On the edge of the field,Home garden or irregular,"mai`a_(banana),tropical_fruits,vegetables_(e.g._leafy_greens_c,other",Liliko’i mamaki tea leaf ,,,"Irrigation
Dear fence
A lot of elephant grass ",-156.9238597,20.82532816
195,8aea5517-bd84-41c2-8ac7-cf1a93cb9fbf,2/16/2023 21:37,,2/16/2023 21:37,,Rennan,,On the edge of the field,Home garden or irregular,"tropical_fruits,vegetables_(e.g._leafy_greens_c",,,,Lots of fallow land and is irrigated ,-156.923782,20.82532613
196,83eadaca-24d0-4502-8fc0-173c9630c75d,2/16/2023 21:37,,2/16/2023 21:37,,Alex ,,On the edge of the field,Home garden or irregular,"other,vegetables_(e.g._leafy_greens_c,mai`a_(banana),tropical_fruits","Papaya, ti leaf, ",,,"A lot of fallow land (lots of grass)  Deer fence, irrigated system, ",-156.9238367,20.8253153
197,6b987610-c07a-4d3f-b746-503114ce7e4a,2/16/2023 21:38,,2/16/2023 21:38,,Hershey Lei,,On the edge of the field,Home garden or irregular,other,Ti Leaf and Papaya,,,#NAME?,-156.9238047,20.8252782
198,4704db4d-f5c4-4cb1-a8d1-f4b51b07b3bb,2/17/2023 0:03,,2/17/2023 0:03,,Hi',,On the edge of the field,Multiple crops,"`ulu_(breadfruit),other","la'i, kukui, wauke",,,,-156.8966183,20.81816662
199,59184364-3f07-47d8-80db-419edc3fae70,2/17/2023 3:44,,2/17/2023 3:44,,Miguel,,On the edge of the field,Home garden or irregular,"`ulu_(breadfruit),vegetables_(e.g._leafy_greens_c,mai`a_(banana),other",Lemon Grass,,,Deer Fence and irrigated,-156.9235493,20.82634827
200,5b760cea-aee1-4982-808d-873418849275,2/17/2023 3:45,,2/17/2023 3:45,,Miguel,,On the edge of the field,Home garden or irregular,"other,mai`a_(banana),vegetables_(e.g._leafy_greens_c",Papaya,,,"Deer fence, irrigated, lots of fallow, there are pests.",-156.9237865,20.82534442
201,0b6f3971-e073-459a-a296-c2976c064c4e,2/18/2023 23:50,,2/18/2023 23:50,,NV,,On the edge of the field,Pasture,other,Cattle,,,,-156.3553549,20.93527954
202,25068d3a-d3b5-4311-828f-d31290bfa2db,2/22/2023 20:07,,2/22/2023 20:07,,Jeffrey wayer,,On the edge of the field,Pasture,,,other,Goat farm,,-156.5044092,20.83623891
203,16bcdf56-2fd2-43ca-b843-f1b80a6cee4a,2/22/2023 20:12,,2/22/2023 20:12,,Brigette Tomas,,Inside the field,Pasture,,,,,,-156.5041453,20.83521755
204,38cbf44c-51f2-40e1-a36d-7df0750a2ed6,2/22/2023 20:12,,2/22/2023 20:12,,Jeffrey wayer,,Inside the field,One crop,"kalo_(taro)_-_mala_(dryland),mai`a_(banana)",,kalo (taro) - mala (dryland),,Kalo field with banana tree outline ,-156.5043676,20.83475911
205,8661bfaa-2665-43b3-99f4-8436a4ecdd30,2/22/2023 20:15,,2/22/2023 20:15,,Brigette Tomas,,Inside the field,One crop,,,mai`a (banana),,Fallow and banana ,-156.5050597,20.83537963
206,c0ee7104-ec94-4cb1-ab5e-8ad11212b4e0,2/22/2023 20:16,,2/22/2023 20:16,,Jeffrey wayer,,Inside the field,Windbreak,,,,,,-156.505644,20.83556704
207,ef8aa630-a4f1-4cf5-a4bf-2134f79d6ba0,2/22/2023 20:28,,2/22/2023 20:28,,Jeffrey wayer,,Inside the field,One crop,other,Pumpkin ,other,Pumpkin ,,-156.4980472,20.83186589
208,938206a2-bd71-4ccf-ac9f-d914199de39e,2/22/2023 20:40,,2/22/2023 20:40,,Jeffrey wayer ,,Inside the field,One crop,`ulu_(breadfruit),,,,,-156.4976862,20.83163921
209,7889d952-ed82-48e9-9705-6e4aa389f556,2/22/2023 20:42,,2/22/2023 20:42,,Jeffrey wayer,,Inside the field,One crop,`ulu_(breadfruit),,,,,-156.4974064,20.83220155
210,6424b08c-1191-4146-839d-b5c40ca1c5fb,2/22/2023 20:44,,2/22/2023 20:44,,Jeffrey wayet,,Inside the field,Multiple crops,"`ulu_(breadfruit),other",,`ulu (breadfruit),,Ulu and kukui tree,-156.4971566,20.83263913
211,c5f0f6bb-5eac-4341-97e9-a3a5e207ceb9,2/22/2023 20:44,,2/22/2023 20:44,,Brigette Tomas,,Inside the field,Multiple crops,"`ulu_(breadfruit),other",Kukui tree,`ulu (breadfruit),,,-156.4970976,20.83257715
212,112974a8-944c-489b-999d-df09792941fb,2/22/2023 20:47,,2/22/2023 20:47,,Jeffrey wayer ,,Inside the field,Multiple crops,other,Bitter melon ,other,Bitter melon,Bitter melon and okra ,-156.4974892,20.83303585
213,f2d77a40-6c48-4b47-9b77-3276711b9450,2/22/2023 20:50,,2/22/2023 20:50,,Brigette Tomas,,Inside the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,,,"Chinese okra
Bittermelon
long green beans ",-156.4973682,20.83312268
214,f8b8b0cf-87d0-4bea-b39f-1e678ab24cb5,2/22/2023 20:54,,2/22/2023 20:54,,Jeffrey wayer,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),vegetables_(e.g._leafy_greens_c",,,,Many different leafy greens ,-156.4955075,20.83218911
215,9681a6a9-0448-434f-bde8-92bf0a0d5e5d,2/22/2023 20:58,,2/22/2023 20:58,,Brigette Tomas,,On the edge of the field,One crop,other,,,,Morniga trees,-156.4963171,20.83215503
216,c4de7d5e-a5b1-46da-939c-b75833b175ad,2/22/2023 21:09,,2/22/2023 21:09,,Jeffrey Wayet,,Inside the field,Fallow,,,,,,-156.5041612,20.83301782
217,91a1ce23-7293-406a-995f-086898dd2a1a,2/25/2023 20:11,,2/25/2023 20:11,,Dylan Bowen ,,On the edge of the field,One crop,niu_(coconut),,,,3 trees,-156.3019874,20.91237309
218,7842feb0-4b57-4eb2-b88a-f0bb61b4fb26,2/25/2023 20:33,,2/25/2023 20:33,,jerry isdale,,Inside the field,Multiple crops,"niu_(coconut),mai`a_(banana),vegetables_(e.g._leafy_greens_c,other,tropical_fruits","
peach palm 
morganstein
mangostein
jack friut
durian
star apple
dragon fruit
pumpkin
longum
lemon drop mangostein
mountain apple 
jabotacaba 
star fruit
 icecream bean",,,lots of variation in trees; pasture area w chickens; big problem w pigs,-156.3022162,20.91271173
219,9b070533-330c-463a-a476-3ef7b133e40a,2/25/2023 20:34,,2/25/2023 20:34,,Brigette Tomas,,Inside the field,Multiple crops,"tropical_fruits,kalo_(taro)_-_mala_(dryland)",,,,"Dwarf coconut,lychee,papaya,pumpkins
diversified tropical farm",-156.3019318,20.91240693
220,1407319c-a9c1-4320-aa4b-02ddac319cbf,2/25/2023 20:35,,2/25/2023 20:35,,Brigette Tomas,,Inside the field,Multiple crops,"avocado,tropical_fruits",,,,"Finger limes,chocolate sapote llyod, green gold avocado, malama avacado,fig mina tree",-156.3022789,20.91286577
221,ae8d174f-4afe-4534-beba-e20807d222f9,2/25/2023 20:35,,2/25/2023 20:35,,Brigette Tomas,,Inside the field,Multiple crops,tropical_fruits,,,,"Gliricidia
heart of palm 
Mangosteen",-156.3028979,20.91324253
222,6615dba0-399f-419d-ac0f-3c07446a8372,2/25/2023 20:35,,2/25/2023 20:35,,Sean,,On the edge of the field,Windbreak,,,,,Vetiver,-156.3023672,20.9120663
223,c6f7e82a-90bd-4a1f-8b24-434d51d7fc07,2/25/2023 20:36,,2/25/2023 20:36,,Sean,,Inside the field,One crop,tropical_fruits,,,,Lychee,-156.3018516,20.91241858
224,830fb323-c979-4022-9ac9-750b87f6da6a,2/25/2023 20:36,,2/25/2023 20:36,,Brigette Tomas,,Inside the field,One crop,tropical_fruits,,,,Jackfruit,-156.3026053,20.91353937
225,a4079fbb-5d77-4237-a924-6ebd2280b9a1,2/25/2023 20:36,,2/25/2023 20:36,,Sean,,Inside the field,Multiple crops,"vegetables_(e.g._leafy_greens_c,tropical_fruits",,,,,-156.3019297,20.91246176
226,db0b7fa0-d5a5-454c-805c-2681249e70d3,2/25/2023 20:36,,2/25/2023 20:36,,Sean,,On the edge of the field,One crop,mai`a_(banana),,,,,-156.3021779,20.91260012
227,2b1fdaa7-661d-483e-a77c-d82b277bf584,2/25/2023 20:36,,2/25/2023 20:36,,Sean,,Inside the field,Multiple crops,tropical_fruits,,,,,-156.3023086,20.91287901
228,2525d761-e5c5-4138-8d01-458dfe23ccf9,2/25/2023 20:36,,2/25/2023 20:36,,Sean,,Inside the field,Multiple crops,,,,,,-156.3023251,20.91307623
